"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",181023,2018-10-23,090741,CME ,00,090 ,  118053,    9307,   12132,    1107,   40580,   20865,    3247,   21825,   39346,    4423,    7692,    6131,     401,   88582,   87652,   29471,   30401,    2667,    3208,    -219,    -682,     -56,    2253,     411,    1246,   -3079,     -65,     154,     522,     -18,    4198,    -877,   -1531,    3544,  100.0,    7.9,   10.3,    0.9,   34.4,   17.7,    2.8,   18.5,   33.3,    3.7,    6.5,    5.2,    0.3,   75.0,   74.2,   25.0,   25.8,    102,      6,      5,.,     13,     16,      4,     15,     34,     10,      7,      6,.,     50,     72,    34.2,    18.7,    45.8,    28.9,    33.3,    17.2,    43.5,    26.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",181016,2018-10-16,090741,CME ,00,090 ,  115386,    6099,   12351,    1789,   40636,   18612,    2836,   20579,   42425,    4488,    7538,    5609,     419,   84384,   88529,   31002,   26857,   -6103,   -2411,   -2623,    1397,   -4241,    1165,    -472,   -1264,   -7198,     506,     280,    1223,     -26,   -6231,   -6028,     128,     -75,  100.0,    5.3,   10.7,    1.6,   35.2,   16.1,    2.5,   17.8,   36.8,    3.9,    6.5,    4.9,    0.4,   73.1,   76.7,   26.9,   23.3,    102,      5,      7,      4,     14,     15,      5,     13,     35,      9,      7,      6,      4,     52,     72,    33.2,    19.6,    44.1,    31.6,    32.7,    17.6,    42.2,    29.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",181009,2018-10-09,090741,CME ,00,090 ,  121489,    8510,   14974,     392,   44877,   17447,    3308,   21843,   49623,    3982,    7258,    4386,     445,   90615,   94557,   30874,   26932,   -5844,    2779,    2843,     162,   -1367,   -3144,     250,   -4066,   -6119,   -1815,     137,    -352,     -17,   -3937,   -8192,   -1907,    2348,  100.0,    7.0,   12.3,    0.3,   36.9,   14.4,    2.7,   18.0,   40.8,    3.3,    6.0,    3.6,    0.4,   74.6,   77.8,   25.4,   22.2,    106,      7,      8,      4,     14,     13,      5,     15,     37,     13,      7,      5,.,     57,     74,    32.3,    20.7,    44.2,    34.5,    31.5,    19.5,    42.1,    32.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",181002,2018-10-02,090741,CME ,00,090 ,  127333,    5731,   12131,     230,   46244,   20591,    3058,   25909,   55742,    5797,    7121,    4738,     462,   94552,  102749,   32781,   24584,   11606,   -3674,    2894,      10,    2855,   -4426,     625,    7043,   12974,    1003,     110,      88,       7,    7979,   13175,    3627,   -1569,  100.0,    4.5,    9.5,    0.2,   36.3,   16.2,    2.4,   20.3,   43.8,    4.6,    5.6,    3.7,    0.4,   74.3,   80.7,   25.7,   19.3,    108,      6,      6,.,     14,     14,      5,     22,     34,     14,      7,      5,.,     62,     71,    28.5,    25.8,    39.1,    39.6,    28.1,    24.1,    37.2,    37.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180925,2018-09-25,090741,CME ,00,090 ,  115727,    9405,    9237,     220,   43389,   25017,    2433,   18866,   42768,    4794,    7011,    4650,     455,   86573,   89574,   29154,   26153,  -34811,  -41204,    2443,   -2680,    1958,   -7701,       9,    6576,    4197,    -133,    -457,   -1692,     -13,  -35944,   -5570,    1133,  -29241,  100.0,    8.1,    8.0,    0.2,   37.5,   21.6,    2.1,   16.3,   37.0,    4.1,    6.1,    4.0,    0.4,   74.8,   77.4,   25.2,   22.6,    100,      6,      6,.,     14,     15,      4,     18,     29,     12,      7,      5,.,     56,     65,    29.9,    21.4,    42.5,    35.5,    29.6,    19.6,    41.2,    33.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180918,2018-09-18,090741,CME ,00,090 ,  150538,   50609,    6794,    2900,   41431,   32718,    2424,   12290,   38571,    4927,    7468,    6342,     468,  122517,   95144,   28021,   55394,   -8436,    6281,  -16868,   -8954,    1125,    3581,     133,   -6970,   -6719,     910,    -593,     241,      -5,   -8073,  -27681,    -363,   19245,  100.0,   33.6,    4.5,    1.9,   27.5,   21.7,    1.6,    8.2,   25.6,    3.3,    5.0,    4.2,    0.3,   81.4,   63.2,   18.6,   36.8,    110,     10,      6,      5,     11,     17,      5,     16,     35,     15,      8,      6,.,     64,     74,    38.1,    16.2,    53.3,    26.8,    37.6,    14.6,    51.2,    25.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180911,2018-09-11,090741,CME ,00,090 ,  158974,   44328,   23662,   11854,   40306,   29137,    2291,   19260,   45290,    4017,    8061,    6101,     473,  130590,  122825,   28384,   36149,    7736,    4562,    1236,   10681,   -1543,    1058,    -229,   -1557,   -8619,   -2184,    -216,    4073,     -16,    9498,    6000,   -1762,    1736,  100.0,   27.9,   14.9,    7.5,   25.4,   18.3,    1.4,   12.1,   28.5,    2.5,    5.1,    3.8,    0.3,   82.1,   77.3,   17.9,   22.7,    108,      8,      5,      7,     12,     16,      4,     16,     36,     14,      8,      6,      4,     59,     78,    39.4,    28.5,    51.4,    39.8,    35.5,    23.5,    45.7,    33.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180904,2018-09-04,090741,CME ,00,090 ,  151238,   39766,   22426,    1173,   41849,   28079,    2520,   20817,   53909,    6201,    8277,    2028,     489,  121092,  116825,   30146,   34413,    3559,    7175,    -973,     843,   -1045,    2725,     116,    -901,      42,   -2804,     551,     340,      10,    3945,     299,    -386,    3260,  100.0,   26.3,   14.8,    0.8,   27.7,   18.6,    1.7,   13.8,   35.6,    4.1,    5.5,    1.3,    0.3,   80.1,   77.2,   19.9,   22.8,    111,      9,      5,      7,     10,     17,      4,     17,     40,     11,      8,      4,      5,     58,     80,    33.2,    25.5,    46.5,    36.6,    32.6,    24.7,    45.1,    35.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180828,2018-08-28,090741,CME ,00,090 ,  147679,   32591,   23399,     330,   42894,   25354,    2404,   21718,   53867,    9005,    7726,    1688,     479,  117147,  116526,   30532,   31153,    2002,   -3626,    2408,    -304,    3718,   -4218,     -33,    1719,    2578,    1654,    -312,    -119,      34,    2850,    2000,    -848,       2,  100.0,   22.1,   15.8,    0.2,   29.0,   17.2,    1.6,   14.7,   36.5,    6.1,    5.2,    1.1,    0.3,   79.3,   78.9,   20.7,   21.1,    112,      8,      6,.,     11,     16,      4,     21,     39,     18,      7,      4,      5,     64,     77,    31.9,    25.8,    44.6,    37.0,    31.6,    24.8,    43.6,    34.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180821,2018-08-21,090741,CME ,00,090 ,  145677,   36217,   20991,     634,   39176,   29572,    2437,   19999,   51289,    7351,    8038,    1807,     445,  114297,  114526,   31380,   31151,     972,   -4575,     382,      86,    2295,    1804,     -31,    2271,    2760,    -661,      73,     432,       9,    -533,    4781,    1505,   -3809,  100.0,   24.9,   14.4,    0.4,   26.9,   20.3,    1.7,   13.7,   35.2,    5.0,    5.5,    1.2,    0.3,   78.5,   78.6,   21.5,   21.4,    109,      9,      4,.,     11,     18,      4,     19,     36,     13,      7,      5,      4,     58,     74,    31.1,    24.4,    43.9,    36.8,    30.8,    24.1,    42.3,    35.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180814,2018-08-14,090741,CME ,00,090 ,  144705,   40792,   20609,     548,   36881,   27768,    2468,   17728,   48529,    8012,    7965,    1375,     436,  114830,  109745,   29875,   34960,    -229,    2071,    -162,       4,     897,    1249,    -134,   -3905,   -2759,     297,    -409,      71,     -10,   -1189,   -1444,     960,    1215,  100.0,   28.2,   14.2,    0.4,   25.5,   19.2,    1.7,   12.3,   33.5,    5.5,    5.5,    1.0,    0.3,   79.4,   75.8,   20.6,   24.2,    106,      9,      4,.,     11,     17,      4,     19,     35,     17,      7,      4,      4,     57,     75,    32.2,    25.1,    45.7,    37.3,    32.0,    24.7,    44.9,    36.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180807,2018-08-07,090741,CME ,00,090 ,  144934,   38721,   20771,     544,   35984,   26519,    2602,   21633,   51288,    7715,    8374,    1304,     446,  116019,  111189,   28915,   33745,    4681,   -6269,    1533,       5,    4873,     577,     160,    5551,     918,    -408,     199,      31,     -36,    4075,    2780,     606,    1901,  100.0,   26.7,   14.3,    0.4,   24.8,   18.3,    1.8,   14.9,   35.4,    5.3,    5.8,    0.9,    0.3,   80.0,   76.7,   20.0,   23.3,    113,     10,      4,.,     12,     16,      4,     23,     36,     17,      8,      4,      4,     65,     74,    30.1,    24.3,    42.1,    36.1,    29.9,    24.3,    40.9,    34.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180731,2018-07-31,090741,CME ,00,090 ,  140253,   44990,   19238,     539,   31111,   25942,    2442,   16082,   50370,    8123,    8175,    1273,     482,  111944,  108409,   28309,   31844,  -11188,   -8730,    2462,     -21,   -2358,   -4573,      26,    1295,   -6428,    -355,      97,     -54,      50,   -9996,   -8893,   -1192,   -2295,  100.0,   32.1,   13.7,    0.4,   22.2,   18.5,    1.7,   11.5,   35.9,    5.8,    5.8,    0.9,    0.3,   79.8,   77.3,   20.2,   22.7,    106,     10,      4,.,     11,     16,      4,     22,     31,     16,      8,      4,      4,     62,     69,    34.8,    26.1,    46.5,    39.4,    34.6,    25.9,    44.6,    37.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180724,2018-07-24,090741,CME ,00,090 ,  151441,   53720,   16776,     560,   33469,   30515,    2416,   14787,   56798,    8478,    8078,    1327,     432,  121940,  117302,   29501,   34139,   -6486,   -5928,     388,     -38,    -255,   -3099,       3,   -5477,    -647,    1427,     573,   -1310,      18,   -9677,   -3258,    3191,   -3228,  100.0,   35.5,   11.1,    0.4,   22.1,   20.1,    1.6,    9.8,   37.5,    5.6,    5.3,    0.9,    0.3,   80.5,   77.5,   19.5,   22.5,    107,     11,.,.,     10,     18,      4,     20,     33,     16,      8,      4,      4,     64,     69,    38.2,    23.7,    49.0,    35.9,    38.0,    23.4,    48.0,    34.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180717,2018-07-17,090741,CME ,00,090 ,  157927,   59648,   16388,     598,   33724,   33614,    2413,   20264,   57445,    7051,    7505,    2637,     414,  131617,  120560,   26310,   37367,   -1577,     983,    -178,    -135,     195,   -1108,       9,   -1462,   -4773,    1115,    -981,      45,       0,    -276,   -5025,   -1301,    3448,  100.0,   37.8,   10.4,    0.4,   21.4,   21.3,    1.5,   12.8,   36.4,    4.5,    4.8,    1.7,    0.3,   83.3,   76.3,   16.7,   23.7,    109,     12,.,.,     10,     19,      5,     18,     34,     13,      7,      6,.,     58,     74,    40.1,    23.1,    50.2,    35.2,    39.9,    22.8,    49.3,    34.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180710,2018-07-10,090741,CME ,00,090 ,  159504,   58665,   16566,     733,   33529,   34722,    2404,   21726,   62218,    5936,    8486,    2592,     414,  131893,  125585,   27611,   33919,    1163,     114,     -43,     115,     279,    -226,     -82,     340,    2976,     318,    -191,     230,      27,     920,    3315,     243,   -2152,  100.0,   36.8,   10.4,    0.5,   21.0,   21.8,    1.5,   13.6,   39.0,    3.7,    5.3,    1.6,    0.3,   82.7,   78.7,   17.3,   21.3,    107,     11,.,      4,      9,     18,      4,     17,     37,     12,      8,      4,.,     56,     74,    40.5,    22.0,    50.8,    34.7,    40.2,    21.7,    50.0,    34.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",180703,2018-07-03,090741,CME ,00,090 ,  158341,   58551,   16609,     618,   33250,   34948,    2486,   21386,   59242,    5618,    8677,    2362,     387,  130973,  122270,   27368,   36071,    -892,   15952,   -2768,      40,    1128,    2094,      43,  -17036,     -93,     784,    -431,    -213,       1,     481,    -112,   -1373,    -780,  100.0,   37.0,   10.5,    0.4,   21.0,   22.1,    1.6,   13.5,   37.4,    3.5,    5.5,    1.5,    0.2,   82.7,   77.2,   17.3,   22.8,    107,     11,.,.,     10,     18,      4,     18,     35,     10,      9,.,.,     57,     70,    41.4,    21.8,    51.9,    34.0,    41.2,    21.7,    51.0,    33.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
